"GHOLE ROAD - SHIVAJI NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"7A","17-18","1","Mainetnance and cleaning works","146000","Maintenance","","",""
"7A","17-18","2","Cleaning material purchase etc","140,000.00","Cleaning","","",""
"7A","17-18","3","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","",""
"7A","17-18","4","Benches","137,000.00","Benches","","",""
"7A","17-18","5","Mainetnance and cleaning works","199,000.00","Maintenance","No Issue","",""
"7A","17-18","6","Mainetnance and cleaning works","199,000.00","Maintenance","","",""
"7A","17-18","7","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"7A","17-18","8","Furniture works, curtains etc.","139,000.00","Furniture","","",""
"7A","17-18","9","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","120,000.00","Buildings","","",""
"7A","17-18","10","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","200,000.00","Buildings","","",""
"7B","17-18","1","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","Resolved","",""
"7B","17-18","2","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","Resolved","",""
"7B","17-18","3","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"7B","17-18","4","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","","",""
"7B","17-18","5","Benches","143,000.00","Benches","","",""
"7B","17-18","6","Benches","142,000.00","Benches","","",""
"7B","17-18","7","Electrification/new street lights","100,000.00","Electrification","","",""
"7B","17-18","8","Electrification/new street lights","100,000.00","Electrification","","",""
"7B","17-18","9","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","192,000.00","Buildings","","",""
"7B","17-18","10","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","","",""
"7C","17-18","1","Benches","150,000.00","Benches","","",""
"7C","17-18","2","mainetnance and cleaning works","200,000.00","Maintenance","","",""
"7C","17-18","3","mainetnance and cleaning works","200,000.00","Maintenance","","",""
"7C","17-18","4","mainetnance and cleaning works","199,000.00","Maintenance","","",""
"7C","17-18","5","mainetnance and cleaning works","199,000.00","Maintenance","","",""
"7C","17-18","6","Benches","151,000.00","Benches","","",""
"7C","17-18","7","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"7C","17-18","8","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"7C","17-18","9","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"7C","17-18","10","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","","",""
"7C","17-18","11","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","","",""
"7D","17-18","1","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","200,000.00","Buildings","","",""
"7D","17-18","2","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","132,000.00","Buildings","","",""
"7D","17-18","3","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","142,000.00","Nameplates","","",""
"7D","17-18","4","Drainage works","140,000.00","Drainage","","",""
"7D","17-18","5","Drainage works","140,000.00","Drainage","","",""
"7D","17-18","6","Drainage works","140,000.00","Drainage","","",""
"7D","17-18","7","Drainage works","140,000.00","Drainage","","",""
"7D","17-18","8","Electrification/new street lights","132,000.00","Electrification","","",""
"7D","17-18","9","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","121,000.00","Buildings","","",""
"7D","17-18","10","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14A","17-18","1","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14A","17-18","2","Building toilets / maintenance etc.","200,000.00","Toilet","","",""
"14A","17-18","3","Drainage works","200,000.00","Drainage","","",""
"14A","17-18","4","Concrete roads, concretization of any specific area","121,000.00","Concretization","","",""
"14A","17-18","5","Cleaning material purchase etc","200,000.00","Cleaning","No Issue","",""
"14A","17-18","6","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","143,000.00","Nameplates","","",""
"14A","17-18","7","samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","200,000.00","Buildings","","",""
"14A","17-18","8","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14A","17-18","9","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14B","17-18","1","Gym / gym equipments","200,000.00","Gym","","",""
"14B","17-18","2","Gym / gym equipments","200,000.00","Gym","","",""
"14B","17-18","3","Electrification/new street lights","100,000.00","Electrification","","",""
"14B","17-18","4","Electrification/new street lights","100,000.00","Electrification","","",""
"14B","17-18","5","Electrification/new street lights","100,000.00","Electrification","","",""
"14B","17-18","6","Electrification/new street lights","100,000.00","Electrification","","",""
"14B","17-18","7","Drainage works","161,000.00","Drainage","","",""
"14B","17-18","8","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","","",""
"14B","17-18","9","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14C","17-18","1","Cleaning material purchase etc","200,000.00","Cleaning","","",""
"14C","17-18","2","Benches","160,000.00","Benches","","",""
"14C","17-18","3","Benches","140,000.00","Benches","","",""
"14C","17-18","4","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","","",""
"14C","17-18","5","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14C","17-18","6","Electrification/new street lights","128,000.00","Electrification","","",""
"14C","17-18","7","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14C","17-18","8","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14C","17-18","9","Electrification/new street lights","200,000.00","Electrification","","",""
"14C","17-18","10","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","143,000.00","Nameplates","","",""
"14D","17-18","1","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14D","17-18","2","benches","200,000.00","Benches","","",""
"14D","17-18","3","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14D","17-18","4","electrification/new street lights","200,000.00","Electrification","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
