"Prabhag 1A : Mrs. Rekha Tingare","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","1","Benches","155888","B","0","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","2","Direction/Information/Sign Boards","155289","N","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","3","Drainage work/ Laying of Drainage line","123842","D","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","4","Pavement blocks","132821","P","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","5","Concretization","132854","C","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","6","Pedestal crossing","199463","F","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","7","Pedestal crossing","199296","F","","","","","","","","","","","","","","","","","","","","","",""
"2012 - 2013","8","Road construction/ Colouring roads/ Railing Work/Speed breaker ","149251","R","","","","","","","","","","","","","","","","","","","","","",""
"","","Total","1248704","","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","1","Pavement blocks","135170","P","0","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","2","Pavement blocks","136770","P","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","3","Concretization","134799","C","","","","","","","","","","","","","","","","","","","","","",""
"2013 - 2014","4","Pedestal crossing","149447","F","","","","","","","","","","","","","","","","","","","","","",""
"","","Total","556186","","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","1","Pavement blocks","139478","P","5","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","2","Pedestal crossing","152236","F","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","3","Pavement blocks","145631","P","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","4","Concretization","134262","C","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","5","Concretization","151021","C","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","6","Pedestal crossing","187159","F","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","7","Pedestal crossing","132944","F","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","8","Pedestal crossing","148069","F","","","","","","","","","","","","","","","","","","","","","",""
"2014 - 2015","9","Benches","152061","B","","","","","","","","","","","","","","","","","","","","","",""
"","","Total","1342861","","","","","","","","","","","","","","","","","","","","","","",""
"2015 - 2016","1","Concretization","317000","C","0","","","","","","","","","","","","","","","","","","","","",""
"2015 - 2016","2","Concretization","166000","C","","","","","","","","","","","","","","","","","","","","","",""
"2015 - 2016","3","Concretization","172000","C","","","","","","","","","","","","","","","","","","","","","",""
"2015 - 2016","4","Concretization","200000","C","","","","","","","","","","","","","","","","","","","","","",""
"2015 - 2016","5","Concretization","200000","C","","","","","","","","","","","","","","","","","","","","","",""
