"Prabhag 22B : Pradeep Gaikwad","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Toilet Renovation and related work","150185","TO","5","52/66","78.78"
"2012 - 2013","2","Toilet Renovation and related work","139400","TO","","",""
"2012 - 2013","3","Benches","165128","B","","",""
"2012 - 2013","4","Drainage work+ Concretisation","150009","D","","",""
"2012 - 2013","5","Drainage work+ Concretisation","158893","D","","",""
"2012 - 2013","6","Drainage work+ Concretisation","200000","D","","",""
"2012 - 2013","7","Drainage work+ Concretisation","200000","D","","",""
"2012 - 2013","8","Drainage work+ Concretisation","151943","D","","",""
"","","Total","1315558","","","",""
"2013 - 2014","1","Concretization ","149783","C","7","74/77","96.1"
"2013 - 2014","2","Building of bus shed","137851","BS","","",""
"2013 - 2014","3","Concretization ","103614","C","","",""
"2013 - 2014","4","Concretization ","155871","C","","",""
"2013 - 2014","5","Concretization ","153670","C","","",""
"2013 - 2014","6","Benches","156752","B","","",""
"2013 - 2014","7","Drainage work+ Concretisation","161038","D","","",""
"2013 - 2014","8","Drainage work+ Concretisation","158541","D","","",""
"2013 - 2014","9","Concretization ","151847","C","","",""
"2013 - 2014","10","Drainage work+ Concretisation","151325","D","","",""
"","","Total","1480292","","","",""
"2014 - 2015","1","Jute bags","200000","J","0","110/116","94.82"
"2014 - 2015","2","Drainage work/ Laying of Drainage line","164253","D","","",""
"2014 - 2015","3","Water supply/Waterproofing","200000","W","","",""
"2014 - 2015","4","Electrification","149990","E","","",""
"2014 - 2015","5","Samaj Mandir/ Related work/ Renovation","199999","SM","","",""
"2014 - 2015","6","Dustbin distribution/ Buckets","200000","DB","","",""
"2014 - 2015","7","Making staircases","200000","R","","",""
"2014 - 2015","8","Benches","150055","B","","",""
"2014 - 2015","9","Fabrication work","200000","SM","","",""
"2014 - 2015","10","Develpoment Work","200000","DW","","",""
"","","Total","1864297","","","",""
"2015 - 2016","1","Benches","200000","B","0","112/127",""
"2015 - 2016","2","Electrification, Furniture","166357","E","","",""
"2015 - 2016","3","Toilet relatted worl","200000","TO","","",""
"2015 - 2016","4","Development Work","200000","DW","","",""
"2015 - 2016","5","Samaj Mandir/ Related work/ Renovation","196892","SM","","",""
"","","Total","963249","","","",""
"","","","","","","",""
"","","Final Total","5623396","","12","","95.46"
